,title,company,salary
0,"
                                                        Kỹ Sư Điện
                        ",Công ty tư vấn xây dựng 78,7 – 10 triệu
1,"
                                                        Nhân Viên Nhân Sự Làm Việc Tại Hoàng Mai
                        ",Công ty TNHH Tân Phú,10 – 15 triệu
2,"
                                                        Nhân Viên Kinh Doanh Thu Nhập 10 - 30 Triệu
                        ",Công ty TNHH thiết kế in ấn Liên Việt,10 – 15 triệu
3,"
                                                        Chuyên Viên Tư Vấn Tín Dụng Ngân Hàng
                        ",Ngân Hàng TMCP Tiên Phong - Khối FICO,7 – 10 triệu
4,,Khách hàng DV Headhunting của Siêu Việt,10 – 15 triệu
5,"
                                                        Nhân Viên Kinh Doanh BĐS - Lương Cứng + Hoa Hồng
                        ",CÔNG TY CỔ PHẦN DỊCH VỤ VÀ ĐỊA ỐC ĐẤT XANH DUYÊN...,Trên 50 triệu
6,,Công ty TNHH ĐT KD BĐS & TTNT Hanahome,10 – 15 triệu
7,"
                                                        Nhân Viên Kinh Doanh Thiết Bị Y Tế
                        ",Công Ty TNHH Vật Tư KHKT Đông Dương,7 – 10 triệu
8,,Công ty CP Truyền thông Tập Trung Vàng,15 – 20 triệu
9,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ VẠN ĐẠT,7 – 10 triệu
10,"
                                                        Nhân Viên Kinh Doanh
                        ",CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH LÊ VŨ,7 – 10 triệu
11,"
                                                        Nv Thu Mua Và Theo Dõi Chứng Từ Xuất - Nhập Khẩu.
                        ",Công ty TNHH Xuất Khẩu Thắng Lợi,7 – 10 triệu
12,"
                                                        Nhân Viên Kinh Doanh
                        ",Công Ty TNHH Thương Mại Hùng Phương,10 – 15 triệu
13,"
                                                        ",Công ty TNHH đầu tư Sài Gòn Phú Đông (SADOREAL),15 – 20 triệu
14,"
                                                        Nhân Viên Tư Vấn [ Lương Cứng Tốt] Bình Thạnh- Thủ Đức
                        ",Công Ty Cổ Phần Đầu Tư – Xây Dựng – Dịch Vụ Phúc...,7 – 10 triệu
15,"
                                                        ",Công Ty Cổ Phần Uniland,15 – 20 triệu
16,"
                                                        [Hcm] Nhân Viên Showroom - Không Áp Doanh Số - Bảo Hiểm Đầy Đủ
                        ",Công ty TNHH Lixil Việt Nam,5 - 7 triệu
17,"
                                                        Kế Toán Tổng Hợp (Có Kinh Nghiệm) - Làm Việc Ở Bình Thạnh
                        ",Công ty TNHH Dịch Vụ Tư Vấn Anpha (Kế toán Anpha),10 – 15 triệu
18,"
                                                        Trợ Lý Kinh Doanh
                        ",Công ty TNHH International Quality Services Center,7 – 10 triệu
19,"
                                                        Nhân viên Marketing 
                        ",Công ty TNHH International Quality Services Center,7 – 10 triệu
20,"
                                                        Trưởng Phòng Hành Chính Nhân Sự
                        ",Công ty cổ phần xây dựng Hà Nội CPM,10 – 15 triệu
21,"
                                                        Nhân Viên Phụ Bếp.
                        ",Quán Thanh Kim Food & Juice,5 - 7 triệu
22,"
                                                        Nhân Viên Phục Vụ
                        ",Quán Thanh Kim Food & Juice,5 - 7 triệu
23,"
                                                        Giám Sát Kinh Doanh Kênh Tiền Mặt (Lương 15.000.000 - 30.000.000)
                        ",Công Ty TNHH TMDV MẠNG LƯỚI THÔNG MINH (SMARTNET),10 – 15 triệu
24,"
                                                        Nhân Viên Bán Hàng Thu Nhập Đến 15Tr
                        ",Công Ty TNHH Đại Nam,10 – 15 triệu
25,"
                                                        Trưởng Phòng Kinh Doanh Ở HCM
                        ",Công ty Cổ Phần Sơn Nhật Bản Việt Nam,20 – 30 triệu
26,"
                                                        Trưởng Nhóm Kinh Doanh (Lương Cơ Bản + Hoa Hồng Cao)- Công Cụ
                        ",Công ty TNHH Hồng Đạt,10 – 15 triệu
27,"
                                                        Trưởng Phòng Kinh Doanh
                        ",CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH LÊ VŨ,20 – 30 triệu
28,"
                                                        Giám Đốc Marketing
                        ",Công ty Cổ phần Giáo dục và Du lịch Vietkite,20 – 30 triệu
29,"
                                                        Thợ Mộc Thu Nhập Đến 15Tr - Đông Anh Hà Nội
                        ",Công ty CP đầu tư và thương mại Minh Nguyên,10 – 15 triệu
